0.95,0.17,0.12
0.94,0.18,0.15
0.94,0.20,0.15
0.95,0.17,0.16
0.97,0.13,0.15
1.01,0.11,0.16
0.98,0.11,0.14
0.97,0.17,0.14
0.97,0.18,0.14
0.94,0.16,0.11
0.95,0.18,0.12
0.95,0.20,0.14
0.95,0.21,0.16
0.96,0.19,0.17
0.96,0.20,0.16
0.96,0.18,0.15
0.96,0.18,0.16
0.98,0.17,0.14
0.96,0.17,0.14
0.96,0.17,0.13
0.97,0.16,0.14
0.96,0.15,0.15
0.95,0.16,0.15
0.96,0.17,0.17
0.96,0.17,0.17
0.96,0.17,0.14
0.96,0.19,0.14
0.97,0.21,0.12
0.99,0.21,0.10
0.97,0.23,0.08
0.93,0.26,0.10
0.95,0.23,0.12
0.95,0.18,0.14
0.95,0.19,0.15
0.93,0.20,0.18
0.95,0.18,0.19
0.96,0.18,0.18
0.96,0.19,0.18
0.97,0.21,0.16
0.95,0.21,0.15
0.95,0.22,0.12
0.95,0.19,0.08
0.96,0.18,0.06
0.96,0.18,0.09
0.96,0.18,0.13
0.95,0.19,0.14
0.96,0.20,0.16
0.96,0.20,0.17
0.95,0.20,0.17
0.95,0.19,0.17
0.97,0.19,0.16
0.96,0.17,0.14
0.97,0.16,0.12
0.96,0.17,0.12
0.95,0.18,0.11
0.94,0.18,0.13
0.96,0.18,0.14
0.96,0.17,0.14
0.95,0.18,0.16
0.96,0.19,0.16
0.94,0.19,0.15
0.96,0.17,0.16
0.96,0.18,0.14
0.96,0.18,0.13
0.96,0.19,0.13
0.96,0.19,0.14
0.95,0.20,0.14
0.96,0.19,0.15
0.95,0.19,0.14
0.96,0.19,0.15
0.96,0.18,0.14
0.96,0.17,0.15
0.97,0.18,0.14
0.97,0.18,0.14
0.96,0.17,0.13
0.96,0.19,0.14
0.95,0.18,0.14
0.95,0.17,0.15
0.96,0.18,0.16
0.96,0.19,0.15
0.96,0.18,0.14
0.96,0.18,0.14
0.96,0.18,0.14
0.96,0.18,0.14
0.96,0.19,0.14
0.95,0.18,0.15
0.96,0.19,0.15
0.96,0.19,0.15
0.96,0.19,0.15
0.96,0.20,0.13
0.95,0.19,0.13
0.95,0.18,0.13
0.95,0.18,0.15
0.96,0.17,0.15
0.96,0.18,0.16
0.96,0.18,0.15
0.95,0.18,0.15
0.96,0.18,0.14
0.96,0.20,0.15
0.95,0.19,0.14
0.95,0.19,0.14
0.95,0.18,0.14
0.95,0.18,0.16
0.95,0.18,0.15
0.95,0.19,0.16
0.96,0.18,0.16
0.95,0.19,0.14
0.96,0.20,0.14
0.95,0.19,0.14
0.95,0.18,0.13
0.95,0.19,0.14
0.95,0.18,0.15
0.95,0.18,0.15
0.95,0.18,0.15
0.96,0.17,0.15
0.95,0.18,0.15
0.95,0.18,0.14
0.96,0.19,0.15
0.96,0.19,0.15
0.95,0.19,0.14
0.96,0.19,0.15
0.96,0.18,0.15
0.96,0.18,0.15
0.95,0.19,0.16
0.95,0.19,0.15
0.96,0.19,0.15
0.95,0.18,0.15
0.95,0.18,0.13
0.94,0.18,0.14
0.96,0.18,0.16
0.95,0.18,0.14
0.96,0.18,0.15
0.96,0.18,0.14
0.95,0.17,0.14
0.95,0.19,0.14
0.96,0.18,0.14
0.95,0.18,0.15
0.95,0.18,0.15
0.95,0.19,0.15
0.96,0.19,0.15
0.96,0.19,0.14
0.95,0.18,0.14
0.95,0.18,0.14
0.95,0.18,0.14
0.95,0.19,0.14
0.95,0.18,0.14
0.95,0.19,0.15
0.95,0.18,0.15
0.95,0.18,0.14
0.96,0.18,0.15
0.96,0.18,0.15
0.96,0.18,0.16
0.96,0.18,0.15
0.96,0.18,0.14
0.96,0.18,0.13
0.95,0.19,0.14
0.96,0.18,0.14
0.96,0.18,0.14
0.96,0.18,0.15
0.96,0.18,0.15
0.96,0.18,0.14
0.96,0.18,0.15
0.94,0.18,0.14
0.95,0.17,0.15
0.95,0.18,0.15
0.95,0.19,0.16
0.96,0.18,0.16
0.95,0.18,0.14
0.96,0.19,0.13
0.96,0.17,0.13
0.96,0.17,0.14
0.96,0.18,0.16
0.96,0.18,0.14
0.95,0.18,0.15
0.97,0.18,0.15
0.95,0.18,0.14
0.96,0.19,0.13
0.96,0.19,0.15
0.96,0.18,0.14
0.95,0.17,0.14
0.96,0.17,0.15
0.96,0.19,0.16
0.96,0.20,0.14
0.95,0.20,0.16
0.96,0.19,0.14
0.95,0.19,0.13
0.95,0.18,0.12
0.96,0.19,0.16
0.96,0.19,0.15
0.96,0.19,0.15
0.95,0.20,0.14
0.95,0.19,0.14
0.96,0.18,0.14
0.96,0.17,0.13
0.96,0.19,0.14
0.95,0.19,0.14
0.96,0.19,0.16
0.95,0.20,0.14
0.96,0.18,0.15
0.95,0.19,0.14
0.96,0.18,0.14
0.95,0.19,0.15
0.96,0.18,0.16
0.94,0.19,0.15
0.96,0.20,0.15
0.96,0.18,0.15
0.96,0.18,0.15
0.96,0.18,0.15
0.96,0.17,0.16
0.95,0.18,0.16
0.96,0.19,0.14
0.94,0.19,0.14
0.95,0.19,0.14
0.96,0.19,0.14
0.96,0.17,0.14
0.95,0.19,0.15
0.96,0.19,0.14
0.96,0.19,0.14
0.96,0.18,0.14
0.96,0.17,0.14
0.96,0.17,0.15
0.96,0.18,0.14
0.96,0.19,0.15
0.95,0.18,0.15
0.96,0.18,0.14
0.95,0.18,0.15
0.96,0.18,0.16
0.96,0.18,0.15
0.96,0.18,0.15
0.97,0.18,0.16
0.97,0.19,0.15
0.95,0.19,0.15
0.94,0.18,0.15
0.95,0.19,0.14
0.95,0.19,0.15
0.95,0.15,0.15
0.95,0.18,0.15
0.95,0.18,0.15
0.95,0.19,0.15
0.94,0.21,0.14
0.95,0.19,0.14
0.94,0.19,0.13
0.94,0.20,0.16
0.95,0.19,0.15
0.94,0.20,0.15
0.95,0.21,0.15
0.95,0.21,0.16
0.95,0.20,0.14
0.95,0.21,0.16
0.97,0.19,0.16
0.96,0.19,0.17
0.97,0.22,0.17
0.95,0.25,0.19
0.94,0.27,0.19
0.94,0.22,0.15
0.93,0.22,0.13
0.95,0.24,0.16
0.95,0.24,0.16
0.98,0.20,0.16
0.93,0.18,0.15
0.93,0.21,0.13
0.94,0.25,0.16
0.94,0.26,0.15
0.96,0.22,0.14
0.95,0.17,0.13
0.95,0.18,0.12
0.95,0.21,0.14
0.95,0.22,0.14
0.93,0.21,0.15
0.94,0.21,0.15
0.96,0.22,0.15
0.94,0.23,0.13
0.95,0.20,0.13
0.96,0.18,0.12
0.95,0.19,0.14
0.95,0.21,0.14
0.97,0.19,0.16
0.96,0.19,0.14
0.96,0.20,0.15
0.96,0.21,0.15
0.94,0.22,0.15
0.95,0.21,0.14
0.95,0.20,0.14
0.94,0.21,0.14
0.95,0.21,0.15
0.95,0.20,0.15
0.98,0.20,0.14
0.96,0.18,0.12
0.94,0.19,0.13
0.92,0.20,0.15
0.93,0.24,0.15
0.95,0.22,0.16
0.96,0.17,0.17
0.97,0.13,0.13
0.96,0.16,0.11
0.96,0.22,0.12
0.95,0.23,0.15
0.96,0.21,0.13
0.95,0.19,0.14
0.99,0.19,0.15
0.96,0.16,0.14
0.97,0.16,0.12
0.96,0.19,0.11
0.95,0.24,0.14
0.94,0.26,0.13
0.95,0.25,0.13
0.95,0.23,0.15
0.96,0.20,0.13
0.96,0.19,0.14
0.95,0.19,0.15
0.95,0.18,0.14
0.94,0.24,0.14
0.93,0.29,0.14
0.92,0.28,0.16
0.96,0.21,0.12
0.97,0.18,0.13
0.96,0.17,0.12
0.96,0.18,0.13
0.94,0.21,0.13
0.94,0.24,0.15
0.94,0.24,0.14
0.95,0.22,0.12
0.95,0.22,0.11
0.95,0.20,0.11
0.95,0.19,0.14
0.96,0.18,0.15
0.96,0.19,0.14
0.96,0.21,0.15
0.95,0.19,0.15
0.95,0.20,0.14
0.96,0.22,0.13
0.95,0.20,0.14
0.95,0.18,0.12
0.95,0.20,0.13
